"File","Line","Comment"
"grid_logic.ps1","222","# Both overlap, FAIL"
"grid_logic.ps1","227","# Check 2: Overlap with Icons"
"grid_logic.ps1","228","# We allow snapping to grid even if no icons are there, but we MUST NOT overlap existing icons."
"logging_utils.ps1","1","# core/logging_utils.ps1"
"logging_utils.ps1","2","# Centralized logging configuration"
"process_utils.ps1","1","# core/process_utils.ps1"
"process_utils.ps1","2","# Utilities for managing widget processes"
"process_utils.ps1","18","# Get all PowerShell processes"
"process_utils.ps1","30","# Check 1: Window Title (Safe & Reliable)"
"process_utils.ps1","36","# Check 2: Command Line (Legacy Fallback)"
"process_utils.ps1","42","# Robust check: Matches if running ANY script from this project folder"
"theme_utils.ps1","1","# core/theme_utils.ps1"
"theme_utils.ps1","2","# Utilities for Premium/Apple-like Styling"
"theme_utils.ps1","67","# Fonts"
"theme_utils.ps1","69","# Styles"
"theme_utils.ps1","70","# Cleaner look unless we have icons everywhere"
"theme_utils.ps1","72","# Padding"
"theme_utils.ps1","73","# $Menu.Padding = New-Object System.Windows.Forms.Padding(5) # WinForms limitation: Padding on DropDown is limited"
"widget_base.ps1","1","# core/widget_base.ps1"
"widget_base.ps1","2","# Base widget functionality - Aggregator"
"widget_base.ps1","3","# This file now serves as a loader for the modular components."
"widget_base.ps1","8","# Resolve path relative to this script"
"widget_base.ps1","11","# Load Modules"
"widget_context_menu.ps1","1","# core/widget_context_menu.ps1"
"widget_context_menu.ps1","2","# Context menu generation"
"widget_context_menu.ps1","15","# 1. Lock/Unlock"
"widget_context_menu.ps1","26","# 2. Snap to Grid"
"widget_context_menu.ps1","34","# 3. Resize"
"widget_context_menu.ps1","54","# 4. Always on Top"
"widget_context_menu.ps1","62","# Update menu item state immediately for better feedback"
"widget_context_menu.ps1","68","# Exit"
"widget_context_menu.ps1","72","# Dynamic Visibility on Open"
"widget_context_menu.ps1","76","# Lock Item Text"
"widget_context_menu.ps1","80","# Hide/Show others based on Lock state"
"widget_context_menu.ps1","85","# Launcher special ""Manage"" menu?"
"widget_context_menu.ps1","92","# Check marks"
"widget_context_menu.ps1","97","# Apple Styling"
"widget_factory.ps1","1","# core/widget_factory.ps1"
"widget_factory.ps1","2","# Widget Factory logic"
"widget_factory.ps1","5","<#     .SYNOPSIS         Creates a initialized widget form with standard features     #>"
"widget_factory.ps1","22","# Create Form"
"widget_factory.ps1","30","# Default"
"widget_factory.ps1","33","# Set Process Identity for Tracking"
"widget_factory.ps1","36","# Initialize Tag State (for closures)"
"widget_factory.ps1","49","# Load Configuration"
"widget_factory.ps1","54","# Position"
"widget_factory.ps1","60","# Size"
"widget_factory.ps1","65","# Settings"
"widget_factory.ps1","83","# --- Standard Visuals (Rounded Corners & Border) ---"
"widget_factory.ps1","85","# Logic to update the window shape (Region)"
"widget_factory.ps1","86","# We use GetNewClosure() to capture '$form' into this scriptblock context reliably."
"widget_factory.ps1","88","# standard event signature"
"widget_factory.ps1","95","# Safety check for very small sizes"
"widget_factory.ps1","105","# DISABLED FOR NOW (SQUARE LOOK):"
"widget_factory.ps1","106","# $form.Region = New-Object System.Drawing.Region($path)"
"widget_factory.ps1","107","# Trigger Repaint for border"
"widget_factory.ps1","110","# Apply on Load and Resize"
"widget_factory.ps1","111","# We pass the closure directly."
"widget_factory.ps1","117","# BORDER DISABLED:"
"widget_factory.ps1","118","<#         $g = $e.Graphics         $g.SmoothingMode = [System.Drawing.Drawing2D.SmoothingMode]::AntiAlias              $pen = New-Object System.Drawing.Pen([System.Drawing.Color]::FromArgb(50, 255, 255, 255), 2)         $rect = $form.ClientRectangle         $rect.Inflate(-1, -1)              $radius = 20         $d = $radius * 2                  if ($rect.Width -gt $d -and $rect.Height -gt $d) {             $path = New-Object System.Drawing.Drawing2D.GraphicsPath             ...             $g.DrawPath($pen, $path)         }         #>"
"widget_factory.ps1","137","# --- Standard Header & Content Panel ---"
"widget_factory.ps1","139","# 1. Header (Top)"
"widget_factory.ps1","148","# 2. Content Panel (Fill)"
"widget_factory.ps1","152","# Important: Padding to prevent content from touching the rounded corners or header"
"widget_factory.ps1","159","# Standard Event Handlers"
"widget_factory.ps1","173","# Standard Interaction Setup"
"widget_factory.ps1","195","# Close Button (Left)"
"widget_factory.ps1","197","# Multiply Sign (Standard Close)"
"widget_factory.ps1","208","# Hover effect"
"widget_factory.ps1","214","# Container for buttons (Right)"
"widget_factory.ps1","222","# Helper for Icon Buttons"
"widget_factory.ps1","236","# Unicode Chars"
"widget_factory.ps1","237","# ðŸ”’"
"widget_factory.ps1","238","# ðŸ”“"
"widget_factory.ps1","240","# Lock Button"
"widget_factory.ps1","246","# Toggle Close Button based on Lock (Locked = Can't Remove)"
"widget_factory.ps1","253","# Init State"
"widget_factory.ps1","260","# Add to panel (Reverse order for RightToLeft flow)"
"widget_interaction.ps1","1","# core/widget_interaction.ps1"
"widget_interaction.ps1","2","# Drag, Drop, and Grid Interaction Logic with Full Collision Detection"
"widget_interaction.ps1","4","# ============================================================================"
"widget_interaction.ps1","5","# WIDGET REGISTRY - Track all active widgets for collision detection"
"widget_interaction.ps1","6","# ============================================================================"
"widget_interaction.ps1","19","# Clean up disposed widgets"
"widget_interaction.ps1","52","# ============================================================================"
"widget_interaction.ps1","53","# COLLISION DETECTION - Check both icons and other widgets"
"widget_interaction.ps1","54","# ============================================================================"
"widget_interaction.ps1","66","# Check desktop icons"
"widget_interaction.ps1","71","# Rectangle overlap test with tolerance"
"widget_interaction.ps1","83","# Continue to check widgets even if icon detection fails"
"widget_interaction.ps1","86","# Check other widgets"
"widget_interaction.ps1","90","# Skip self"
"widget_interaction.ps1","93","# Rectangle overlap test with tolerance"
"widget_interaction.ps1","109","# ============================================================================"
"widget_interaction.ps1","110","# DRAG FUNCTIONALITY"
"widget_interaction.ps1","111","# ============================================================================"
"widget_interaction.ps1","120","# Auto-register on enable"
"widget_interaction.ps1","124","# Mouse Down"
"widget_interaction.ps1","144","# Mouse Move"
"widget_interaction.ps1","152","# Multi-Monitor Support:"
"widget_interaction.ps1","155","# Loose clamping to ensuring not completely lost off-screen"
"widget_interaction.ps1","161","# Check collision at new position"
"widget_interaction.ps1","164","# Snap Logic (only if enabled)"
"widget_interaction.ps1","169","# Check collision at snap position"
"widget_interaction.ps1","175","# Update Preview - show collision state"
"widget_interaction.ps1","179","# Move to position if valid"
"widget_interaction.ps1","186","# If collision, stay at current position (sticky)"
"widget_interaction.ps1","189","# Fallback to simple movement if snap fails"
"widget_interaction.ps1","196","# Free movement - only move if no collision"
"widget_interaction.ps1","201","# If moving would cause collision, show red preview but don't move"
"widget_interaction.ps1","207","# Mouse Up"
"widget_interaction.ps1","215","# Hide Preview"
"widget_interaction.ps1","224","# Final Snap Check (if enabled)"
"widget_interaction.ps1","238","# CRITICAL: Final Overlap Check"
"widget_interaction.ps1","243","# Revert to original position"
"widget_interaction.ps1","252","# Success - show green feedback"
"widget_interaction.ps1","261","# On error, safer to revert"
"widget_interaction.ps1","276","# Quick Lock/Unlock on Indicator Double Click"
"widget_interaction.ps1","282","# Toggle Lock"
"widget_interaction.ps1","285","# Visual Feedback"
"widget_interaction.ps1","298","# ============================================================================"
"widget_interaction.ps1","299","# RESIZE FUNCTIONALITY"
"widget_interaction.ps1","300","# ============================================================================"
"widget_interaction.ps1","308","# Resize Grip (Bottom Right)"
"widget_interaction.ps1","344","# Calculate new size"
"widget_interaction.ps1","348","# Delta"
"widget_interaction.ps1","355","# Check if new size would cause collision"
"widget_interaction.ps1","361","# Update preview if snap enabled"
"widget_interaction.ps1","367","# Show red preview for invalid size"
"widget_interaction.ps1","382","# Hide preview"
"widget_interaction.ps1","388","# Final collision check"
"widget_interaction.ps1","392","# Revert to original size"
"widget_interaction.ps1","400","# Snap size if enabled"
"widget_interaction.ps1","406","# Default fallbacks if metrics fail"
"widget_interaction.ps1","412","# Calculate likely Column/Row Span"
"widget_interaction.ps1","419","# Calculate Snapped Size"
"widget_interaction.ps1","423","# Verify snapped size doesn't cause collision"
"widget_interaction.ps1","432","# Keep current size if snap fails but no collision"
"widget_interaction.ps1","436","# Success feedback"
"widget_interaction.ps1","448","# ============================================================================"
"widget_interaction.ps1","449","# PREVIEW AND VISUAL FEEDBACK"
"widget_interaction.ps1","450","# ============================================================================"
"widget_interaction.ps1","469","# Paint border"
"widget_interaction.ps1","481","# Color coding:"
"widget_interaction.ps1","482","# Red = collision / invalid"
"widget_interaction.ps1","483","# Green = snapped and valid"
"widget_interaction.ps1","484","# Yellow = free-form and valid"
"widget_interaction.ps1","486","# Red - collision"
"widget_interaction.ps1","489","# Green - snapped"
"widget_interaction.ps1","492","# Yellow - free"
"widget_state.ps1","1","# State management"
"widget_state.ps1","18","# 1. Capture State"
"widget_state.ps1","35","# 2. Always update the MASTER record (config.json)"
"widget_state.ps1","36","# This satisfies ""keep 1 on record at all times with past size/pos"""
"widget_state.ps1","40","# If master config exists, we might want to preserve other fields if any?"
"widget_state.ps1","41","# But currently we overwrite."
"widget_state.ps1","42","# If we are overwriting, we must ensure we don't accidentally mark it inactive if we are just moving it."
"widget_state.ps1","43","# Wait! If I move the widget, Save-WidgetState is called with reason ""None""."
"widget_state.ps1","44","# So isActive will be $true. Correct."
"widget_state.ps1","45","# If I close it, reason ""UserClosing"", isActive = $false. Correct."
"widget_state.ps1","49","# 3. Handle Instance Config"
"widget_state.ps1","54","# ""Gone from record"" - User explicitly closed it"
"widget_state.ps1","60","# Shutdown/Restart - Save instance state for restoration"
"widget_state.ps1","65","# It's the default config, we already saved it above."
"widget_utils.ps1","1","# core/widget_utils.ps1"
"widget_utils.ps1","2","# General widget utilities"
"window_utils.ps1","1","# core/window_utils.ps1"
"window_utils.ps1","2","# Windows API utilities for desktop integration"
"window_utils.ps1","3","# This module is loaded ONCE and shared by all widgets"
"window_utils.ps1","7","# Define the C# code first so we can check if we need to recompile"
"window_utils.ps1","205","# If the DLL doesn't exist, OR if we want to force recompile (during dev), we add type from definition"
"window_utils.ps1","206","# However, since the DLL is locked by the running process, we should just use Add-Type -TypeDefinition for the session"
"window_utils.ps1","207","# To properly handle DLL updates, we would need versioning, but for this context:"
"window_utils.ps1","210","# Try using the pre-compiled DLL if it matches, but for safety in this dev cycle"
"window_utils.ps1","211","# we will rely on Add-Type. If the Type is already loaded in the session, this block skips."
"window_utils.ps1","212","# Note: If you change C# code, you MUST restart the PowerShell process."
"window_utils.ps1","229","# Find all powershell processes that look like widgets"
"battery_info.ps1","1","# widgets/battery_info/battery_info.ps1"
"battery_info.ps1","2","# Battery Status Widget"
"battery_info.ps1","6","# Setup"
"battery_info.ps1","17","# Theme"
"battery_info.ps1","21","# Green"
"battery_info.ps1","29","# Header"
"battery_info.ps1","33","# Content Panel"
"battery_info.ps1","40","# UI Elements"
"battery_info.ps1","42","# Battery"
"battery_info.ps1","73","# Logic"
"battery_info.ps1","81","# Plug"
"battery_info.ps1","85","# Percentage"
"battery_info.ps1","89","# Color"
"battery_info.ps1","92","# Warning"
"battery_info.ps1","96","# Battery"
"battery_info.ps1","99","# Status"
"battery_info.ps1","105","# Time Remaining"
"battery_info.ps1","127","# Initial Update"
"battery_info.ps1","130","# Interaction"
"calculator.ps1","1","# widgets/calculator/calculator.ps1"
"calculator.ps1","2","# Compact Calculator Widget (3x3 Grid Size)"
"calculator.ps1","20","# Calculator state"
"calculator.ps1","26","# Theme"
"calculator.ps1","37","# Create Standard Widget Form (Size 230x250)"
"calculator.ps1","38","# Factory handles Header, Rounded Corners and Border automatically now."
"calculator.ps1","39","# Header Height is 24 by default."
"calculator.ps1","42","# Override Manual Position logic"
"calculator.ps1","48","# --- UI ---"
"calculator.ps1","50","# Get the standard ContentPanel provided by the factory"
"calculator.ps1","53","# Display (Relative to ContentPanel)"
"calculator.ps1","58","# Top of panel"
"calculator.ps1","59","# Adjusted width for padding"
"calculator.ps1","65","# Button Grid"
"calculator.ps1","75","# Calculate Layout dynamically to fill panel"
"calculator.ps1","76","# Below display"
"calculator.ps1","77","# Approx panel width (230 - 10 - 10 padding - extra)"
"calculator.ps1","78","# 4 columns"
"calculator.ps1","137","# Colors"
"calculator.ps1","164","# --- Interaction Setup ---"
"calculator.ps1","165","# Drag enabled by default on Form/Header/ContentPanel in Factory."
"calculator.ps1","166","# We also enable drag on the Display since it takes up space users might grab."
"calculator.ps1","167","# $form.Tag.Header is available if needed."
"calculator.ps1","171","# Context Menu is auto-assigned to Form. We assign it to Display too."
"clock.ps1","1","# widgets/clock/clock.ps1"
"clock.ps1","2","# Digital Clock Widget"
"clock.ps1","6","# Paths"
"clock.ps1","13","# Load Core"
"clock.ps1","21","# Theme - Transparent Setup"
"clock.ps1","22","# We use a specific ""Chroma Key"" color for transparency to make the background invisible."
"clock.ps1","31","# Create Standard Widget Form with Header (but transparent body)"
"clock.ps1","34","# Apply Transparency"
"clock.ps1","37","# Override Manual Position if passed"
"clock.ps1","43","# --- Widget Specific UI ---"
"clock.ps1","46","# Remove padding to allow text to hit edges"
"clock.ps1","49","# Time Label"
"clock.ps1","57","# Initial split"
"clock.ps1","58","# Use a Font that scales well"
"clock.ps1","62","# Date Label"
"clock.ps1","73","# Dynamic Resizing Logic"
"clock.ps1","77","# Check if too small"
"clock.ps1","80","# Ratios"
"clock.ps1","86","# Scale Fonts"
"clock.ps1","87","# Time font ~ 50% of its container height"
"clock.ps1","96","# Initial Call"
"clock.ps1","99","# Update Timer"
"clock.ps1","108","# Standard Factory Header is present, so drag is handled automatically."
"clock.ps1","109","# We just need to attach Context Menu to labels"
"clock.ps1","113","# Run"
"display_switcher.ps1","1","# widgets/display_switcher/display_switcher.ps1"
"display_switcher.ps1","2","# Display Settings Widget - Minimal Toggle Version"
"display_switcher.ps1","5","# Generate unique instance ID if not provided"
"display_switcher.ps1","10","# Paths"
"display_switcher.ps1","16","# Load Core"
"display_switcher.ps1","24","# Theme"
"display_switcher.ps1","35","# Create Mini Widget Form"
"display_switcher.ps1","44","# Store InstanceId in form tag"
"display_switcher.ps1","47","# Header"
"display_switcher.ps1","50","# Add Close Button to Header"
"display_switcher.ps1","69","# Main Panel"
"display_switcher.ps1","76","# Helper: Get State (per-instance)"
"display_switcher.ps1","88","# Helper: Set State (per-instance)"
"display_switcher.ps1","98","# The Single Toggle Button"
"display_switcher.ps1","107","# Simple text icons (cross-platform compatible)"
"display_switcher.ps1","108","# PC screen"
"display_switcher.ps1","109","# Two screens"
"display_switcher.ps1","111","# Refresh UI based on state"
"display_switcher.ps1","116","# Currently Internal (PC Only). Button shows option to switch to Extended."
"display_switcher.ps1","123","# Currently Extended. Button shows option to switch to PC Only."
"display_switcher.ps1","131","# Button hover effects"
"display_switcher.ps1","146","# Click Logic"
"display_switcher.ps1","152","# Switch to Internal (PC Only)"
"display_switcher.ps1","157","# Switch to Extended"
"display_switcher.ps1","162","# Update UI immediately (optimistic)"
"display_switcher.ps1","175","# Initial State"
"display_switcher.ps1","178","# Drag Support"
"display_switcher.ps1","182","# Cleanup on close"
"display_switcher.ps1","184","# Clean up resources if needed"
"drawer_logic.ps1","1","# widgets/launcher/drawer_logic.ps1"
"drawer_logic.ps1","2","# Logic for the Widget Drawer (Selection Grid)"
"drawer_logic.ps1","13","# Drawer Configuration"
"drawer_logic.ps1","25","# Position (Above or Below Launcher)"
"drawer_logic.ps1","38","# --- UI Layout ---"
"drawer_logic.ps1","176","# Ghost Window (with standard rounded/transparent look)"
"drawer_logic.ps1","187","# Rounded Corners for Ghost"
"drawer_logic.ps1","210","# Snap Logic for Ghost"
"drawer_logic.ps1","216","# Use Get-SnapPosition to find where it WOULD snap"
"drawer_logic.ps1","221","# Visual feedback for snap could be added (color change), but position snap is enough."
"drawer_logic.ps1","228","# Final Drop Location (Ghost Location)"
"drawer_logic.ps1","264","# Just Clicked"
"launcher.ps1","5","# Load Core"
"launcher.ps1","8","# widget_base.ps1 is the aggregator that loads all other core modules"
"launcher.ps1","11","# Configuration"
"launcher.ps1","15","# Track spawned widgets"
"launcher.ps1","18","# Theme"
"launcher.ps1","25","# Widget Definitions & Dynamic Discovery"
"launcher.ps1","32","# Flexible script discovery"
"launcher.ps1","44","# Defaults"
"launcher.ps1","50","# Load Metadata if exists"
"launcher.ps1","76","# Create Main Form"
"launcher.ps1","77","# Size: 75x75 (1 cell) with Taskbar visibility"
"launcher.ps1","80","# Set Icon"
"launcher.ps1","93","# --- Launcher Specific UI ---"
"launcher.ps1","95","# Use standard ContentPanel"
"launcher.ps1","99","# Plus Label"
"launcher.ps1","109","# --- Interaction Setup ---"
"launcher.ps1","110","# Drag for Plus Label (Factory handles Form/Header)"
"launcher.ps1","114","# --- Drawer Logic ---"
"launcher.ps1","121","# Custom Context Menu (Append to existing Standard Menu)"
"launcher.ps1","124","# Add ""Manage Widgets"" Submenu"
"launcher.ps1","126","# Insert before ""Close"""
"launcher.ps1","129","# Close All"
"launcher.ps1","136","# Aggressive Kill"
"launcher.ps1","144","# Active Count (Update on Hover)"
"launcher.ps1","146","# Cleanup dead processes"
"launcher.ps1","155","# Startup Separator"
"launcher.ps1","158","# Run on Startup Toggle"
"launcher.ps1","184","# --- Session Restoration ---"
"launcher.ps1","185","# Scan for existing configurations and launch them"
"launcher.ps1","193","# 1. Default Instance (config.json)"
"launcher.ps1","206","# Correct Argument Order for Hidden Window"
"net_speed.ps1","1","# widgets/net_speed/net_speed.ps1"
"net_speed.ps1","2","# Network Speed Monitor Widget with Graph"
"net_speed.ps1","6","# Setup"
"net_speed.ps1","17","# Theme"
"net_speed.ps1","21","# Cyan"
"net_speed.ps1","22","# Pink"
"net_speed.ps1","29","# Header"
"net_speed.ps1","33","# Main Panel"
"net_speed.ps1","40","# Labels"
"net_speed.ps1","57","# Graph Canvas"
"net_speed.ps1","73","# Logic"
"net_speed.ps1","91","# Get stats across all interfaces (sum)"
"net_speed.ps1","92","# Win32_PerfFormattedData... is good but might flicker."
"net_speed.ps1","93","# Get-NetAdapterStatistics is easier for total bytes."
"net_speed.ps1","94","# We will use NetAdapterStatistics for total, but for Speed we calculate diff manually for reliability."
"net_speed.ps1","102","# SentBytes sum"
"net_speed.ps1","114","# Avoid negative spikes on reset"
"net_speed.ps1","121","# Update Text"
"net_speed.ps1","125","# Update History"
"net_speed.ps1","132","# Totals (Only rough session approximation from our start, or just raw total?)"
"net_speed.ps1","133","# Raw total is usually huge (lifetime of boot). Let's show session total maybe?"
"net_speed.ps1","134","# User asked for ""Data used today"". That's hard without persistent storage."
"net_speed.ps1","135","# Let's show ""Session Total"" for now or Raw Total."
"net_speed.ps1","136","# $lblTotal.Text = ""Total: â¬‡ $(Get-FriendlySize $currRecv)  â¬† $(Get-FriendlySize $currSent)"""
"net_speed.ps1","144","# Capture start for session total"
"net_speed.ps1","156","# Scale"
"net_speed.ps1","160","# Min 1KB scale"
"net_speed.ps1","162","# Draw Down"
"net_speed.ps1","170","# Draw Up"
"quick.ps1","1","# widgets/quick_actions/quick_actions.ps1"
"quick.ps1","2","# Quick Actions Panel - System Maintenance & Cleanup"
"quick.ps1","6","# Wrappers for global error handling"
"quick.ps1","8","# Logging"
"quick.ps1","10","# ""Starting Quick Actions..."" | Out-File $debugLog -Append"
"quick.ps1","12","# Encoding Safe Icons"
"quick.ps1","13","# ðŸ”„"
"quick.ps1","14","# ðŸ–¥ï¸"
"quick.ps1","15","# âš ï¸"
"quick.ps1","16","# ðŸ“‹"
"quick.ps1","17","# ðŸ—‘ï¸"
"quick.ps1","18","# ðŸ“"
"quick.ps1","19","# ðŸŒ"
"quick.ps1","20","# ðŸ–¼ï¸"
"quick.ps1","21","# ðŸ”„"
"quick.ps1","22","# ðŸŒ"
"quick.ps1","23","# âš¡"
"quick.ps1","25","# Paths"
"quick.ps1","32","# Load Core"
"quick.ps1","40","# Theme"
"quick.ps1","52","# Create Standard Widget Form"
"quick.ps1","53","# Width 320, Height 480"
"quick.ps1","56","# Override Manual Position if passed"
"quick.ps1","62","# --- Widget Specific UI ---"
"quick.ps1","64","# Main Container provided by Factory"
"quick.ps1","66","# Adjust padding if needed, but factory default (10,5,10,10) is okay."
"quick.ps1","67","# Original was (15, 30, 15, 15). We might want 15 side padding."
"quick.ps1","70","# Scrollable Container"
"quick.ps1","77","# Current Y position for layout"
"quick.ps1","83","# Helper function to create section header"
"quick.ps1","95","# Adjusted for scrollbar space"
"quick.ps1","105","# Helper function to create action button"
"quick.ps1","116","# Adjusted"
"quick.ps1","130","# Hover effect"
"quick.ps1","138","# Click action with visual feedback"
"quick.ps1","162","# Status Label at top"
"quick.ps1","176","# Function to update status"
"quick.ps1","192","# --- SYSTEM MAINTENANCE SECTION ---"
"quick.ps1","204","# Force desktop refresh"
"quick.ps1","207","# Alternative method"
"quick.ps1","245","# Also use Windows API method"
"quick.ps1","289","# --- QUICK CLEANUP SECTION ---"
"quick.ps1","321","# Edge cache"
"quick.ps1","327","# Chrome cache"
"quick.ps1","425","# Add some bottom padding"
"quick.ps1","428","# Drag specific controls if needed (factory default drags everything not handled)"
"quick.ps1","429","# But for scroll panel, it can catch mouse."
"quick.ps1","430","# We rely on Factory drag for header/border."
"quick.ps1","432","# Run"
"shortcut.ps1","1","# widgets/shortcut/shortcut.ps1"
"shortcut.ps1","2","# Shortcut Link Widget - Multi-Instance Support"
"shortcut.ps1","5","# Generate unique instance ID if not provided"
"shortcut.ps1","10","# Paths"
"shortcut.ps1","16","# Use instance-specific config file"
"shortcut.ps1","20","# Load Core"
"shortcut.ps1","28","# Theme"
"shortcut.ps1","37","# Create Widget Form - Larger default for list"
"shortcut.ps1","46","# Store InstanceId in form tag for reference"
"shortcut.ps1","49","# Header"
"shortcut.ps1","54","# Content Panel (Flow Layout for List)"
"shortcut.ps1","64","# State: List of Shortcuts (instance-specific)"
"shortcut.ps1","67","# Load shortcut config"
"shortcut.ps1","72","# Check if it has ""Shortcuts"" array"
"shortcut.ps1","76","# Migration: Check for legacy single shortcut fields"
"shortcut.ps1","89","# Helper: Extract and save icon"
"shortcut.ps1","106","# Helper: Save config"
"shortcut.ps1","118","# Render Function"
"shortcut.ps1","122","# Cleanup old controls"
"shortcut.ps1","129","# Render Items"
"shortcut.ps1","131","# Capture loop variable"
"shortcut.ps1","134","# Item Container"
"shortcut.ps1","143","# Icon"
"shortcut.ps1","165","# Text"
"shortcut.ps1","176","# Click Handler"
"shortcut.ps1","201","# Hover"
"shortcut.ps1","205","# Context Menu for Item"
"shortcut.ps1","267","# ""Add New"" Button"
"shortcut.ps1","286","# Icon"
"shortcut.ps1","304","# Cleanup on close"
"shortcut.ps1","306","# Dispose images"
"shortcut.ps1","318","# Enable Drag of form via header"
"stopwatch.ps1","1","# widgets/stopwatch/stopwatch.ps1"
"stopwatch.ps1","2","# Stopwatch Widget"
"stopwatch.ps1","6","# Paths"
"stopwatch.ps1","13","# Load Core"
"stopwatch.ps1","21","# Theme"
"stopwatch.ps1","25","# Blue for Stopwatch"
"stopwatch.ps1","30","# Create Widget Form"
"stopwatch.ps1","31","# Width 250, Height 120"
"stopwatch.ps1","39","# Header"
"stopwatch.ps1","43","# Padding Panel"
"stopwatch.ps1","50","# Time Display"
"stopwatch.ps1","60","# Controls"
"stopwatch.ps1","70","# Helper for Buttons"
"stopwatch.ps1","83","# Icons"
"stopwatch.ps1","84","# â–¶"
"stopwatch.ps1","85","# â¸ (or II) usually 23F8"
"stopwatch.ps1","86","# â†»"
"stopwatch.ps1","87","# â±"
"stopwatch.ps1","97","# Logic"
"stopwatch.ps1","104","# ~30fps"
"stopwatch.ps1","114","# Pause"
"stopwatch.ps1","120","# Start"
"stopwatch.ps1","138","# Interactions"
"temp_monitor.ps1","1","# widgets/temp_monitor/temp_monitor.ps1"
"temp_monitor.ps1","2","# System Temperature & Load Monitor"
"temp_monitor.ps1","3","# NOTE: Temperature readings require driver support and often Elevation."
"temp_monitor.ps1","7","# Setup"
"temp_monitor.ps1","18","# Theme"
"temp_monitor.ps1","31","# Header"
"temp_monitor.ps1","42","# Components Helper"
"temp_monitor.ps1","57","# CPU GUI"
"temp_monitor.ps1","75","# GPU GUI"
